## For 10mV Trigger Amplitude

## For 15mV Trigger Amplitude (Run 1932) ------------------------
## Correction factor applied = 1.21 => Cosmic eng. dep = 72.6 MeV
bb.ps.adc.gain =
0.0148207 0.0145066 
0.013915 0.0151573 
0.0136224 0.0144196 
0.0146951 0.0143611 
0.0140706 0.0144963 
0.0143073 0.0138216 
0.0150621 0.0139665 
0.0139148 0.0143478 
0.0145396 0.0144289 
0.0141237 0.01493 
0.0137232 0.0146953 
0.0139759 0.0148356 
0.0140875 0.01488 
0.0135486 0.0140674 
0.0148702 0.0148694 
0.0142688 0.0140421 
0.0144374 0.0143643 
0.0147415 0.0146977 
0.0149129 0.014438 
0.0150411 0.0139482 
0.0141222 0.0136844 
0.0146744 0.0140694 
0.0144588 0.0144477 
0.0135826 0.0145815 
0.014306 0.0136686 
0.0140197 0.0135479 

## For 20mV Trigger Amplitude (Run 1475) ------------------------
## Correction factor applied = 1.21 => Cosmic eng. dep = 72.6 MeV
bb.ps.adc.gain =
0.0113203 0.0110397 
0.0106401 0.0113492 
0.0105301 0.0108966 
0.0111649 0.010821 
0.0108812 0.0107813 
0.0108436 0.0103956 
0.0115695 0.0106673 
0.0107136 0.0107817 
0.0110414 0.0109108 
0.0105596 0.0113333 
0.0105711 0.0110726 
0.0105543 0.0109833 
0.0108015 0.0111375 
0.0105193 0.0107933 
0.0112321 0.0112814 
0.0109967 0.0105548 
0.011197 0.0109668 
0.0111561 0.0110268 
0.0112767 0.0109207 
0.0114113 0.0107063 
0.0108269 0.01042 
0.0111569 0.0107335 
0.0109107 0.0108219 
0.0103378 0.0109902 
0.0109668 0.0103735 
0.0109091 0.0100005

## For 25mV Trigger Amplitude
